VALUE,EVT_Fuel,EVT_Name,EVT_LF,SystemGroupID,SystmGrpPhys,SystmGrpName,SAF_SRM,NVCSOrder,NVCSClass,NVCSSubclass,r,g,b,Red,Green,Blue
3048,2048,Northwestern Great Plains Highland White Spruce Woodland,Tree,639,Conifer,Spruce-Fir Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Open tree canopy,Evergreen open tree canopy,182,250,227,0.713725,0.980392,0.890196
3049,2049,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,621,Conifer,Limber Pine Woodland,SAF 219: Limber Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,174,245,224,0.682353,0.960784,0.878431
3050,2050,Rocky Mountain Lodgepole Pine Forest,Tree,622,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,163,240,219,0.639216,0.941176,0.858824
3051,2051,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,625,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,51,0,0.000000,0.200000,0.000000
3052,2052,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,204,0,0.000000,0.800000,0.000000
3053,2053,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,631,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214,255,181,0.839216,1.000000,0.709804
3054,2054,Southern Rocky Mountain Ponderosa Pine Woodland,Tree,631,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214,255,181,0.839216,1.000000,0.709804
3055,2055,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,639,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,236,252,204,0.925490,0.988235,0.800000
3056,2056,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,639,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,236,252,204,0.925490,0.988235,0.800000
3057,2057,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,621,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,63,255,46,0.247059,1.000000,0.180392
3058,2058,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tree,622,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,163,240,219,0.639216,0.941176,0.858824
3059,2059,Southern Rocky Mountain Pinyon-Juniper Woodland,Tree,630,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,121,255,94,0.474510,1.000000,0.368627
3060,2060,East Cascades Ponderosa Pine Forest and Woodland,Tree,610,Conifer,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214,255,181,0.839216,1.000000,0.709804
3061,2061,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tree,603,Conifer-Hardwood,Aspen-Mixed Conifer Forest and Woodland,SAF 217: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,192,255,138,0.752941,1.000000,0.541176
3062,2062,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Tree,628,Conifer,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,155,235,216,0.607843,0.921569,0.847059
3063,2063,North Pacific Broadleaf Landslide Forest and Shrubland,Tree,632,Hardwood,Red Alder Forest and Woodland,SAF 221: Red Alder,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,146,232,215,0.572549,0.909804,0.843137
3064,2064,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,204,182,135,0.800000,0.713725,0.529412
3065,2065,Columbia Plateau Scabland Shrubland,Shrub,613,Shrubland,Desert Scrub,SRM 106: Bluegrass Scabland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,199,176,129,0.780392,0.690196,0.505882
3066,2066,Inter-Mountain Basins Mat Saltbush Shrubland,Shrub,636,Shrubland,Salt Desert Scrub,SRM 501: Saltbush-Greasewood,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,194,170,126,0.760784,0.666667,0.494118
3067,2067,Mediterranean California Alpine Fell-Field,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,255,211,119,1.000000,0.827451,0.466667
3068,2068,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,181,156,114,0.709804,0.611765,0.447059
3070,2070,Rocky Mountain Alpine Dwarf-Shrubland,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 410: Alpine Rangeland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,171,145,106,0.670588,0.568627,0.415686
